"sector-type","post_title","p_owner","p_client","disciplines","p_location","scope_of_work","project-category","p_status","p_start_date","p_end_date","feature image"
"Petrochemical","TIE-INS for TEG Aldehyde removal system for EG1 and EG 2 Plants","SABIC","UNITED","Plant Services","Jubail","Project involves Engineering, Procurement, Fabrication Demolition & Installation, Fabrication & support pre-fabrication of pipipng material, demolition of existing piping, Installation of new tie-ins, NDT Testing & Commissioning","Normal","Completed","Jul-14","Dec-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/283.jpg   "
"Petrochemical","Procure Construct Ground Flare Moification","SABIC","SAUDI KAYAN","Plant Services","Jubail","Project involves Fabrication, Piping, Structure, Electrical  & Instrumentation works, Piping activities includes upgradation of Lp steam from 4"" to 6"",  E & I activities includes installation of instruemnts & their cable laying, NDT, insulation & painting activities are also involved.","Normal","Completed","Jul-14","May-15","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/284.jpg   "
"Petrochemical","Heavy Glycol Loading Facility at 4EG ","SABIC","SHARQ","Plant Services","Jubail","EPC project on LSTK basis includes Piping, Structure, Pipe Supports, Civil, Electrical & Instrumentation. Piping activities involves modification including tie-in, Civil work  include relocation of trench & foundations for pipe suppport & sheds, Elctrical & Instrumentation activities include installation, cables & glanding, termination etc.","Normal","Completed","Jun-14","Feb-15","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/285.jpg   "
"Petrochemical","Installation of New Heat Exchanger of Hydraulic oil in PDH","TASNEE","TASNEE","Plant Services","Jubail","Installation of New Heat Exchanger includes, piping modification, equipment installation and civil works.","Normal","Completed","Apr-14","Jul-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/286.jpg   "
"Petrochemical","Prefabrication and replacement of pipelines in VCM/PVC 2014 TA ","SABIC","PetroKemya","Plant Services","Jubail","Pre-fabrication and replacement of pipe lines, Piping modification","Normal","Completed","Jun-14","Oct-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/287.jpg   "
"Petrochemical","Boiler Assessment implementation project","SABIC","YANPET","Plant Services","Yanbu","The project involves fabrication and installation of Boiler for the Boiler Assessment implementation project","Normal","Completed","Jun-14","Dec-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/288.jpg   "
"Petrochemical","Pr For Import Co2 Line From United","SABIC","AL-BAYRONI","Plant Services","Jubail","Project involves Engineering, Procurement & Installation of Piping, Equipments involves all disciplines like: Mechanical. Electrical, Civil & instrumentation.","Normal","Completed","May-14","Jan-15","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/289.jpg   "
"Petrochemical","Construction project-5th effect evaporator overhead line and uograde metallurgy of line ","SABIC","UNITED","Plant Services","Jubail","LSTK EPC Project involves on all the disciplines like Mechanical, Electrical & Instrumentation, Civil along with detailed Engineering.","Normal","Completed","May-14","Jan-15","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/290.jpg   "
"Petrochemical","3 "" Line for Vacuuming on Reactor","SABIC","SHARQ","Plant Services","Jubail","EPC Project on LSTK basis involves Mechanical, Fabrication & Construction activities, to remove all vacuum lines and install new permanent vacuum lines for all the reactors of Plant 1,2,3 & 4","Normal","Completed","Apr-14","Nov-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/291.jpg   "
"Oil & Gas","Install Manual Block Valve at Ph-7 filter","SABIC","Gas Jubail","Plant Services","Jubail","Removal and Re-installation of manual block valve / isolation valve at Phase 7 Filter","Normal","Completed","Apr-14","May-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/292.jpg   "
